x (mm),Pressure (Pa),Ambient (Pa),Thrust(g)
0,101981.82,101988.14,71
2,102089.56,102001.21,71
4,96105.59,102006.09,71
6,102138.21,102009.48,71
8,102146.49,102010.90,71
10,102152.43,102009.89,71
12,102167.78,102008.32,71
14,102065.85,102008.42,71
16,102065.68,102010.03,71
18,96043.90,102009.37,71
20,102091.82,102007.69,71
22,102122.88,102010.65,71
24,102177.62,102010.43,70
26,96265.21,102006.44,70
28,102399.65,102006.73,70
30,102556.78,102004.46,70
32,102638.51,102001.42,70
34,102718.21,101999.22,70
36,102772.57,101995.65,70
38,102818.15,101995.00,70
40,102852.67,101989.78,70
